"San Diego, CA",11,225,4.89%
"Chicago, IL",8,225,3.56%
"Las Vegas, NV",7,225,3.11%
"Dallas, TX",6,225,2.67%
"Los Angeles, CA",6,225,2.67%
"Philadelphia, PA",5,225,2.22%
"Denver, CO",4,225,1.78%
"Irvine, CA",3,225,1.33%
"San Francisco, CA",3,225,1.33%
"Seattle, WA",3,225,1.33%
"Rialto, CA",2,225,0.89%
"Santa Ana, CA",2,225,0.89%
"Oakland, CA",2,225,0.89%
"Portland, OR",2,225,0.89%
"Huntington, WV",2,225,0.89%
"Kirkland, WA",2,225,0.89%
"Albuquerque, NM",2,225,0.89%
"Hollywood, CA",2,225,0.89%
"Des Moines, WA",2,225,0.89%
"Athens, AL",2,225,0.89%
"Bakersfield, CA",2,225,0.89%
"Baldwin Park, CA",1,225,0.44%
"Baltimore, MD",1,225,0.44%
"Beaumont, CA",1,225,0.44%
"Belgium, WI",1,225,0.44%
"Bellevue, WA",1,225,0.44%
"Bishop, CA",1,225,0.44%
"Bloomington, MN",1,225,0.44%
"Bonita, CA",1,225,0.44%
"Bremerton, WA",1,225,0.44%
"Brentwood, CA",1,225,0.44%
"Brighton, MA",1,225,0.44%
"Broken Arrow, OK",1,225,0.44%
"Buffalo Grove, IL",1,225,0.44%
"Camden, AR",1,225,0.44%
"Carlsbad, CA",1,225,0.44%
"Carol Stream, IL",1,225,0.44%
"Chalfont, PA",1,225,0.44%
"Cherry Valley, CA",1,225,0.44%
"Des Plaines, IL",1,225,0.44%
"Dublin, OH",1,225,0.44%
"Durango, CO",1,225,0.44%
"Eastvale, CA",1,225,0.44%
"Edmond, OK",1,225,0.44%
"El Cajon, CA",1,225,0.44%
"El Paso, TX",1,225,0.44%
"Elberta, AL",1,225,0.44%
"Ellicott City, MD",1,225,0.44%
"Eufaula, OK",1,225,0.44%
"Everett, WA",1,225,0.44%
"Fort Lauderdale, FL",1,225,0.44%
"Fresno, CA",1,225,0.44%
"Frisco, TX",1,225,0.44%
"Gallup, NM",1,225,0.44%
"Georgetown, TX",1,225,0.44%
"Gig Harbor, WA",1,225,0.44%
"Grand Forks, ND",1,225,0.44%
"Grand Prairie, TX",1,225,0.44%
"Grand Rapids, MI",1,225,0.44%
"Grass Valley, CA",1,225,0.44%
"Green Cove Springs, FL",1,225,0.44%
"Gurnee, IL",1,225,0.44%
"Hazel Crest, IL",1,225,0.44%
"Henderson, NV",1,225,0.44%
"Hermosa Beach, CA",1,225,0.44%
"Hortonville, WI",1,225,0.44%
"Houston, TX",1,225,0.44%
"Huntington Beach, CA",1,225,0.44%
"Alma, GA",1,225,0.44%
"Alta Loma, CA",1,225,0.44%
"Altadena, CA",1,225,0.44%
"Anchorage, AK",1,225,0.44%
"Chula Vista, CA",1,225,0.44%
"Collegeville, PA",1,225,0.44%
"Colorado Springs, CO",1,225,0.44%
"Columbus, OH",1,225,0.44%
"Compton, CA",1,225,0.44%
"Concord, CA",1,225,0.44%
"Copperopolis, CA",1,225,0.44%
"Corona, CA",1,225,0.44%
"Costa Mesa, CA",1,225,0.44%
"Craig, CO",1,225,0.44%
"Crofton, MD",1,225,0.44%
"Culver City, CA",1,225,0.44%
"Klamath Falls, OR",1,225,0.44%
"La Mesa, CA",1,225,0.44%
"Lake Charles, LA",1,225,0.44%
"Lancaster, CA",1,225,0.44%
"Lansing, MI",1,225,0.44%
"Lexington, KY",1,225,0.44%
"Lindenhurst, NY",1,225,0.44%
"Lindon, UT",1,225,0.44%
"Lompoc, CA",1,225,0.44%
"Long Beach, CA",1,225,0.44%
"Los Alamos, NM",1,225,0.44%
"Indian Wells, CA",1,225,0.44%
"Indianapolis, IN",1,225,0.44%
"Inglewood, CA",1,225,0.44%
"Irving, TX",1,225,0.44%
"Jacksonville, FL",1,225,0.44%
"Janesville, WI",1,225,0.44%
"Kansas City, KS",1,225,0.44%
"Kansas City, MO",1,225,0.44%
"Providence, RI",1,225,0.44%
"Rancho Cucamonga, CA",1,225,0.44%
"Rancho Palos Verde, CA",1,225,0.44%
"Redding, CA",1,225,0.44%
"Redlands, CA",1,225,0.44%
"Redondo Beach, CA",1,225,0.44%
"Remlap, AL",1,225,0.44%
"Reston, VA",1,225,0.44%
"Orange, CA",1,225,0.44%
"Orlando, FL",1,225,0.44%
"Ovideo, FL",1,225,0.44%
"Palm Desert, CA",1,225,0.44%
"Parkville, MO",1,225,0.44%
"Pittsburg, CA",1,225,0.44%
"Playa Del Rey, CA",1,225,0.44%
"Pleasanton, CA",1,225,0.44%
"Madison, WI",1,225,0.44%
"Manhattan, IL",1,225,0.44%
"Marina Del Rey, CA",1,225,0.44%
"McLean, VA",1,225,0.44%
"Mechanicville, NY",1,225,0.44%
"Mentmore, NM",1,225,0.44%
"Mission Viejo, CA",1,225,0.44%
"Monrovia, CA",1,225,0.44%
"Moscow, ID",1,225,0.44%
"N Darthmouth, MA",1,225,0.44%
"N Grafton, MA",1,225,0.44%
"Newyork, NY",1,225,0.44%
"North Highlands, CA",1,225,0.44%
"North Liberty, IA",1,225,0.44%
"North Richland Hills, TX",1,225,0.44%
"Oaklahoma City, OK",1,225,0.44%
"Santa Monica, CA",1,225,0.44%
"Santa Rose, CA",1,225,0.44%
"Santee, CA",1,225,0.44%
"Seal Beach, CA",1,225,0.44%
"Addison, IL",1,225,0.44%
"Riverside, CA",1,225,0.44%
"Rocky River, OH",1,225,0.44%
"Roslyn, NY",1,225,0.44%
